Tag,Agency,Overseas Post or Washington D.C. Office,Country,Project Name,Project Summary,Regional or Specific Knowledge,Technical Skills w/Level,Foreign Languages w/Level,Requirements/Comments
83,USAID,Dar es Salaam,Tanzania,Acquisition and Assistance Process Guide,"Develop an online, publicly accessible USAID Acquisition and Assistance Process Guide similar to NOAA's: http://www.easc.noaa.gov/APG/ ",,MS Office platform - Int.; Research - Int.; Website design and development - Int.,,
84,USAID,Dar es Salaam,Tanzania,Acquisition and Assistance Research,"Provide General research related to Acquisition and Assistance matters on research markets, foreign assistance, and relevant topics in Tanzania",,,,
85,USAID,Dar es Salaam,Tanzania,Flexible Dashboard System,Create a flexible dashboard system to visually display and analyze data to be displayed on Mission Tanzania’s internal network that is similar to the functionality of the Quicken financial management program,,MS Office platform - Int.; Website design and development - Int.,,
86,USAID,Dar es Salaam,Tanzania,Smart Queries,Design and implement an automated smart query system by which users' questions may be answered using USAID's public rules and regulations as a source,,MS Office platform - Int.; Research - Int.; Website design and development - Int.,,
87,USAID,Dar es Salaam,Tanzania,Training Flash Cards,Develop training flash cards for Acquisition and Assistance professionals by identifying and recommending virtual flash card systems that fit in USAID's existing architecture and then by designing and formulating the cards,,MS Office platform - Beginner; Social media - Beginner; Website design and development - Beginner,,
88,USAID,Bangkok ,Thailand,Governance and Vulnerable Populations Project,Support research in governance and vulnerable populations issues for the Regional Development Mission for Asia (RDMA) relating to governance and civil society in China and across Asia,"No prior experience in Asia is required, though a strong passion for learning about the region is essential; Chinese proficiency desirable;  Proficient in MS word applications and ability to communicate clearly in both written and spoken formats",MS Office platform - Int.,Chinese-Mandarin - Int.,
89,USAID,Bangkok ,Thailand,Assistance on LGBT in Asia,"Contribute to a first-of-its-kind USAID-United Nations Development Programme (UNDP) effort to research and meet Asia's lesbian, gay, bisexual and transgender communities to better understand their social and legal circumstances ","Experienced with writing, research, and analytics; background in human rights study, especially how human rights and LGBT issues intersect;  Specific Asia knowledge and background helpful; Regional knowledge of Asian countries, particularly ASEAN or China beneficial; Previous activism and/or research in LGBT issues of interest",Blogging - Adv.; Research - Adv.; Website design and development - Adv.,,
90,State,Port of Spain,Trinidad and Tobago,Visa Outreach in Trinidad and Tobago,Assist the Consular Team’s outreach efforts by fostering a better understanding of Trinbagonian customers based on research in order to develop effective and cohesive public communication and outreach materials for U.S. visa applicants in Trinidad and Tobago,Basic understanding of Trinidad and Tobago culture and society,Research - Adv.; Social media - Adv.,,
91,State ,Ankara,Turkey,Creating a Visual Archive of U.S. - Turkey Relations,Help a new generation of Turkish youth learn about and experience important milestones in U.S.-Turkey relations,"Interest in contemporary and historical U.S.-Turkey relations; Turkish preferred, but not required ",Graphic design - Adv.; Research - Adv.; Social media - Adv.,See Regional or Specific Knowledge,UNUSUAL requirement!!  The ideal candidate for this project will be resident in the Washington DC area to access in-person resources.
92,State ,Ho Chi Minh City,Vietnam,Promoting Education Through Visual Diplomacy,"Bring Mission Vietnam's public diplomacy programming to students in the provinces through video editing and online posting of in-office events, and create a tailor-made 5-10 minute video explaining U.S. student life to prospective Vietnamese students",,Video - Int.; Digital film editing software - Int.; Social media - Beginner,,"There are over 15,000 Vietnamese students already studying in the U.S. (8th in the world); with your help we are convinced we can improve upon even that number. Internet penetration rates in Vietnam are high, and your digital and video assistance will help us to expand our audience to students in outlying provinces who cannot access our in-office programming. We look forward to working with you."
93,USAID,Hanoi,Vietnam,Health Risk Communications & Web Writing,Research and draft public health information to support USAID communications of programs for emerging diseases,"Strong editorial skills; Works well under tight deadlines; Interest in public health, animal health, one health, zoonoses and international development issues; Ability to transform technical information for different target audiences; Vietnamese language skills a plus  ",Graphic design - Int.; Research - Int.; Website editing - Int.,See Regional or Specific Knowledge,"Enrolled in a degree program or University degree in communications, journalism, public health, veterinary health, political or international relations"
94,State,Lusaka,Zambia,"Digital Engagement for EducationUSA, Zambia",Expand EducationUSA's digital diplomacy efforts in Zambia by interacting virtually with Zambian Youth who desire to study in the United States with a particular emphasis on developing social media presence,"This project requires a solid knowledge of internet and the various tools to engage Zambian students in constructive and intelligent dialogue about education, and current event in their respective country. Experience in setting up a Facebook page and maximize the features it offers to increase digital diplomacy between the U.S. and Zambia student population ages 18 to 32.",Research - Int.; Social media - Int.; Web chat - Int.,,Good English speaking skills but current and relevant language that would be fun and engaging Zambian students in increasing their English language learning skills. Willing to learn the basics about EducationUSA in order to assist students and answer questions as they work through the steps of applying to schools in the U.S.
95,State,Lusaka,Zambia,"American Spaces, Zambia",Develop monthly events and programs to be hosted at American Corners in Zambia; develop digital engagement for American Corners.,"This project requires a solid knowledge of internet and the various tools to engage Zambian students in constructive and intelligent dialogue about education, and current event in their respective country. Experience in being active on Facebook and maximizing the features it offers to increase digital diplomacy between the U.S. and Zambia student population ages 18 to 32.",Research - Beginner; Social media - Int.; Web chat - Int.,,Good English speaking skills but current and relevant language that would be fun and engaging Zambian students in increasing their English language learning skills. Willing to learn the basics about EducationUSA in order to assist students and answer questions as they work through the steps of applying to schools in the U.S.
96,State ,"Economic Policy, African Affairs (AF/EPS)",Washington D.C.,U.S.-China Export Competitiveness in Africa,Support research and analysis on the development and economic partnerships between the China and Africa,Substantial knowledge of China and Sub-Saharan Africa would be ideal.  Chinese language skills (specifically reading) would be a plus.,,See Regional or Specific Knowledge,"Graduate and PhD students preferred;  strong background in business, development finance, economics and/or research and evaluation methods."
97,State ,"Economic Policy, African Affairs (AF/EPS)",Washington D.C.,Cybersecurity in Africa,"Research the relevancy of contemporary cybersecurity innovations addressing corruption, illicit financial flows, and money laundering in Africa.","Familiarity with cybersecurity issues, IT innovations and/or public financial management.",,,"Graduate and PhD students preferred; strong background in cybersecurity, IT innovation and/or public financial management."
98,State ,"Arms Control, Verification and Compliance (AVC) ",Washington D.C.,Arms Control in the Information Age,"Bring scientists, engineers and policy experts together to harness new technologies in support of U.S. arms control efforts through outreach, digital design, communications, social media, the Arms Control Challenge, and other efforts as needed which could include research projects on arms control and treaty monitoring and verification","Knowledge of arms control, weapons of mass destruction, and a general interest in new technologies (social media, telecommunications, environmental monitoring) are preferred  ",Blogging - Int.; MS Office platform - Int.; Research - Int.; Social media - Int.,,
99,State ,Consular Affairs (CA),Washington D.C.,"Daily Management, Leadership, and Innovation Media Clips","Search, review and recommend forward-looking, conceptual resources (media articles, books and videos) that identify and highlight new ideas in effective management, leadership, and innovation in both private industry and government to help reshape the way government management professionals view and conduct their work","Interest or background in business administration or management may be helpful, but not required; Strong writing and research skills a plus",MS Office platform - Adv.; Research - Adv.; Social media - Adv.,,
100,State ,"National Passport Center, Consular Affairs (CA/PPT/NPC)",Washington D.C.,Creation of Passport Services You Tube Videos,Create storyboard/short instructional videos to be posted on YouTube for passport applicants deriving citizenship through their parents,,Video - Int.; Graphic design - Beginner; Research - Int.; Social media - Int.,,No knowledge of passport regulations is required.
101,State ,"Near Eastern Affairs; Democracy, Human Rights, and Labor (DRL, NEA)",Washington D.C.,Freedom of Expression - Middle East and North Africa,"Create and maintain databases to research and document cases where freedom of expression has been legally restricted or obstructed; periodically provide brief reports on the situation, trends, and highlight particularly egregious cases in the region",Possess intermediate skills in a database or spreadsheet program; Knowledge of the Middle East/North Africa; Arabic language skills helpful; Familiarity with international laws governing the right of free expression  ,MS Office platform - Int.; Research - Int.,,
102,State ,"Investigations and Counterintelligence, Diplomatic Security (DS/DO/ICI)",Washington D.C.,Victims' Resource Advocacy Program Database,Develop a searchable database of domestic and international resources for victims of crimes,Candidates should be familiar with Microsoft Oracle and/or Microsoft Access and creating information databases,MS Office platform - Adv.,,
103,State ,"Science and Technology Adviser; Economic Growth, Energy, and the Environment (E/STAS)",Washington D.C.,"Program Database for Science, Technology and Innovation Programs","Review international reports/strategic international plans for 50-150 U.S. universities to report on and develop a database of programs in which Science, Technology and Innovation (STI) is prominently featured","Develop criteria for judging international Science, Technology, and Innovation (STI) engagement and apply those and analyze the patterns across universities",MS Office platform - Int.; Research - Int.,,"For questions or additional information, please email STAS@state.gov. "
104,State ,"Science and Technology Adviser; Economic Growth, Energy, and the Environment (E/STAS)",Washington D.C.,Outreach for NeXXt Scholars Program,Support outreach efforts and program management responsibilities for the NeXXt Scholars Program for young women in STEM fields,No special skills beyond those listed are required other than attention to detail and enthusiasm!,,,"Learn more about the NeXXt Scholars Program at:   http://www.state.gov/e/stas/202507.htm  http://www.nyas.org/WhatWeDo/ScienceEd/NeXXtScholars.aspx    For questions or more information, please email STAS@state.gov. "
105,State ,"Economic Policy Analysis and Public Diplomacy; Economic, Energy, and Business Affairs (EB/EPPD/PA)",Washington D.C.,National Export Initiative Data Analysis,Create a database to report on and analyze trends in U.S. Embassy support for the National Export Initiative,Intermediate knowledge of macroeconomic issues and international trade required,MS Office platform - Adv.,,
106,State ,"Investment Affairs; Economic, Energy, and Business Affairs (EB/IFD/OIA)",Washington D.C.,International Investment Initiatives,Research foreign direct investment trends and topics,Economics or business background at the graduate or advanced undergraduate level; Also competitive would be a law student with business or economic-related coursework,Research - Adv.,,
107,State ,"International Intellectual Property Enforcement; Economic, Energy, and Business Affairs (EB/TPP/IPE)",Washington D.C.,Intellectual Property Research and Outreach,Research topics related to protection of U.S. innovation and intellectual property rights; produce a summary of the research in a format that will be useful in outreach and public diplomacy efforts by State and embassies abroad,,Research - Beginner,,
108,State ,"Academic Exchange Programs, Education and Cultural Affairs (ECA/A/E)",Washington D.C.,Infographic and Data Visualization Design,Create visually engaging infographics and other data visualizations to illustrate statistics pertaining to academic exchange programs,"Innovation, initiative, and creativity with background in graphic design, 2D illustration, animation, and data analytics and data visualization; Experience with Adobe Photoshop, Illustrator, and/or InDesign or other graphic design programming; Experience creating visually attractive data visualizations; Background in marketing and art is a plus",Graphic design - Adv.,,Comfortable working both independently and collaboratively; Possess excellent time management skills; Independent access to preferred design platform
109,State ,"Academic Exchange Programs, Education and Cultural Affairs (ECA/A/E)",Washington D.C.,Presentation and Correspondence Template Design,Create visually engaging presentations and correspondence templates for academic exchange programs to help “tell the story” of the programs ,"Graphic design; MS Office platform; Adobe Photoshop, Illustrator, and/or InDesign or other graphic design programming, html;  Innovation, initiative, and creativity with a background in graphic design, desktop publishing, and html a plus; Experience with Adobe Photoshop, Illustrator, and/or InDesign or other graphic design programming platforms; Background in marketing and art is encouraged",Graphic design - Adv.; MS Office platform - Adv.,,Comfortable working both independently and collaboratively; Possess excellent time management skills; Independent access to preferred design platform
110,State ,"Academic Exchange Programs, Education and Cultural Affairs (ECA/A/E)",Washington D.C.,New Media - Study of the U.S.,"Develop social media materials about the United States for the Study of the U.S. social media properties by creating a yearlong roster of daily Twitter posts for @StudyoftheUS, monthly Facebook posts for facebook.com/StudyoftheUS, and other content to be shared with embassies and educational exchange applicants around the world",Comfortable working both independently and collaboratively; Possess excellent time management skills; Independent access to preferred design platform,Video - Adv.; Digital film editing software - Adv.; Research - Adv.; Social media - Adv.,,"A portfolio including at least one sample video or multimedia project must be submitted to LathamEJ@state.gov by July 22nd for an applicant to be considered for this position.  Experience with storytelling, creating presentations, editing videos, and new media are important.  "
111,State ,"English Language Programs, Education and Cultural Affairs (ECA/A/L)",Washington D.C.,American English Facebook Pages,"Support U.S. public diplomacy and global outreach by contributing to the ""American English at State"" and ""English Access Microscholarship Headquarters"" Facebook pages","Strong English communication skills; Interest in English as a Foreign/Second Language, experience in EFL/ESL preferred  ",Social media - Adv.,,Applicant will be asked to submit a writing sample at the interview stage.
112,State ,"English Language Programs, Education and Cultural Affairs (ECA/A/L)",Washington D.C.,American English YouTube,Support U.S. public diplomacy and global outreach by developing American English playlists for the Exchanges Connect YouTube channel,"Strong English communication skills; interest in English as a Foreign/Second Language,  experience in EFL/ESL preferred",Digital film editing software - Int.; Social media - Adv.,,Applicant will be asked to submit a video sample at the interview stage.
113,State ,"English Language Programs, Education and Cultural Affairs (ECA/A/L)",Washington D.C.,American English Website and Mobile Application,"Support U.S. public diplomacy and global outreach by working on the recently launched American English Mobile Application, editing content for the award-winning American English website, and writing participant stories","Strong English communication skills; Interest in English as a Foreign/Second Language, experience in EFL/ESL preferred",MS Office platform - Int.,,Applicant will be asked to submit a writing sample at the interview stage.
114,State ,"Global Educational Programs, Education and Cultural Affairs (ECA/A/S)",Washington D.C.,EducationUSA: Research on Andean Region of South America,"Conduct research and report on the current international education initiatives and policies of Bolivia, Colombia, Peru, Ecuador, and Venezuela","Some knowledge of Bolivia, Colombia, Peru, Ecuador, and Venezuela preferred but not required",MS Office platform - Int.; Research - Int.,Spanish - Int.,"Enjoy research and writing.  Final product is a 15-20 page report on the current state of international education in Bolivia, Colombia, Peru, Ecuador, and Venezuela.  Create a weekly briefing of U.S. and foreign news sources (which may be in Spanish) on international education issues in these countries.  "
115,State ,"Global Educational Programs, Education and Cultural Affairs (ECA/A/S)",Washington D.C.,Educational Advising SMS Outreach,"Research and develop an educational advising backend application written in any technology -- JSP, ASP, PHP or a static HTML page -- that outputs XML","Knowledge of basic coding (JSP, ASP, PHP or a static HTML page that outputs XML)",MS Office platform - Int.; Research - Int.,,
116,State ,"Global Educational Programs, Education and Cultural Affairs (ECA/A/S)",Washington D.C.,"International Education Research, Middle East North Africa",Conduct research and report on the current national and international education initiatives and policies of the countries of the Middle East and North Africa,Some knowledge of the Middle East and North Africa preferred but not required,,Arabic - Int.; French - Int.,
117,State ,"Global Educational Programs, Education and Cultural Affairs (ECA/A/S)",Washington D.C.,"International Education Research, Sub-Saharan Africa",Conduct research and report on the current international education initiatives and policies in sub-Saharan African countries,,MS Office platform - Int.; Research - Int.,French - Beginner,"Knowledge of French is preferred, but not required."
118,State ,"Global Educational Programs, Education and Cultural Affairs (ECA/A/S)",Washington D.C.,Infographics for Exchange Programs,"Create visually attractive infographics and other data visualizations to illustrate different programmatic aspects and ""tell the story"" of our exchange programs","Artistic creativity with a strong background and demonstrable experience in data visualization, graphic design, concept skills, 2D illustration, and data analytics; Experience with Adobe Photoshop, Illustrator, and/or InDesign or other graphic design ",Digital camera - Int.; Graphic design - Adv.; Photography - Int.; Research - Int.; Website design and development - Int.,,"Regular, personal access to graphic design programs required.  An interest in international education, or experience studying, living, or working overseas is a plus, but not required."
119,State ,"Policy and Evaluation, Education and Cultural Affairs (ECA/P)",Washington D.C.,Cultural Property Repatriation Database,"Research, compile, and track worldwide repatriations of cultural property (antiquities and works of art) from one country to another for the State Department's Cultural Heritage Center; the final product is to build the database to contain this information","General knowledge of international cultural property issues and/or laws; Familiarity with terminology of art history, archaeology, anthropology, and/or history; Experience building databases",MS Office platform - Int.; Research - Int.; Website design and development - Int.,,"Familiarity with culture heritage issues and/or media in a region of the world (Latin America preferred, others considered); Knowledge of at least one foreign language (Spanish preferred, others considered)."
120,State ,"Policy and Evaluation, Education and Cultural Affairs (ECA/P)",Washington D.C.,Measuring Soft Power,"Learn to identify and measure the impact of ""soft power"" and help curate concrete results for effective public diplomacy reporting",Background in journalism a plus but not a requirement,,,"Autonomous project after preliminary training by phone.  If the eIntern is in the Washington, DC area they would be welcome to meet the staff in the beginning, and attend a 2-hour training."
121,State ,"Policy and Evaluation, Education and Cultural Affairs (ECA/P)",Washington D.C.,Cultural Heritage Center Online Image Database,Create a Flickr database that supports the mission of the Cultural Heritage Center to protect and preserve cultural heritage worldwide,"Familiarity with terminology of art history, archaeology, architecture, anthropology, and/or history",Social media - Adv.,Spanish - Int.,"Spanish language preferred, but others considered."
122,State ,"International Visitors Leadership Program, Education and Cultural Affairs (ECA/PE/V)",Washington D.C.,Congressional Tracker ,Research and develop an on-line tool to allow easy tracking of Congressional meetings by participants in the International Visitor Leadership Program,Adv. knowledge of online platforms; Develop an on-line resource tool; Strong verbal and written communication skills; Interest in Congress  ,Blogging - Int.; MS Office platform - Adv.; Research - Adv.; Social media - Int.,,
123,State ,"International Visitors Leadership Program, Education and Cultural Affairs (ECA/PE/V)",Washington D.C.,"Research and Evaluation, International Visitor Leadership Program",Research and develop an appropriate evaluation tool for participants in the International Visitor Leadership Program,Advanced knowledge of evaluation theory; Ability to design online platform for evaluation tools; Adv. knowledge of online platforms; Develop an on-line resource tool; Strong verbal and written communication skills; Interest in Congress  ,Blogging - Int.; Graphic design - Adv.; Research - Adv.; Social media - Int.; Website design and development - Adv.; Website editing - Adv.,,
124,State ,"International Visitors Leadership Program, Education and Cultural Affairs (ECA/PE/V)",Washington D.C.,"Research Guides, International Visitor Leadership Program",Research and develop one-page resource guides of information publicly available on Department of State sites to be used by participants in the International Visitor Leadership Program,Adv. knowledge of online platforms; Develop an on-line resource guide; Strong verbal and written communication skills; Interest in Congress  ,Graphic design - Int.; MS Office platform - Adv.; Research - Adv.; Social media - Int.; Website design and development - Adv.; Website editing - Adv.,,
125,State ,"International Visitors Leadership Program, Education and Cultural Affairs (ECA/PE/V)",Washington D.C.,International Visitor Leadership Program Guide,"Re-envision the International Visitor Leadership Program (IVLP) Guidelines manual which is approximately 100 pages in length to make it more engaging and user-friendly to the approximately 5,000 IVLP participants each year from around the world who come to the U.S. for intensive three-week exchanges",Advanced knowledge of Microsoft Word; Strong verbal and written communication skills     ,Graphic design - Int.; MS Office platform - Adv.,,The Bureau of Educational and Cultural Affairs’ International Visitor Leadership Program (IVLP) brings current and emerging leaders from around the world to the United States for intensive three-week exchanges.
126,State ,"Policy Analysis and Public Diplomacy, Energy Resources (ENR/EGA/PAPD)",Washington D.C.,Energy Analysis,Provide research and analysis support on energy topics; Define scope for and develop a database to gather and analyze Bureau efforts to support the Department of State's Economic Statecraft Initiative; Define scope for and develop a database to gather and analyze data for a Cyber GIS platform on energy,Proficient in GIS and database software,Research - Int.,,
127,State ,"Policy Analysis and Public Diplomacy, Energy Resources (ENR/EGA/PAPD)",Washington D.C.,"Digital Engagement, Energy Resources",Expand the digital presence of the Bureau of Energy Resources,,Social media - Int.; Website design and development - Int.,,
128,State ,U.S. Foreign Assistance (F),Washington D.C.,Foreign Assistance Information Systems Outreach,"Help the State Department’s Foreign Assistance Resources office communicate effectively with a global, multi-agency partner community",,Blogging - Int.; MS Office platform - Int.; Research - Adv.; Social media - Int.; Website design and development - Int.; Website editing - Int.,,
129,State ,Foreign Service Institute (FSI),Washington D.C.,IT Research and Consultation,Assist five Foreign Service Information Management Specialists in the Executive Development Program with special projects and academic research during Foreign Service Institute and National Defense University coursework,Computer Science majors desired,Research - Adv.; Social media - Adv.,,
130,State ,Foreign Service Institute (FSI),Washington D.C.,eLearning Course for Information Management,Develop distance learning course for Information Management Specialists.,"Specific knowledge of Adobe Connect, and if possible, WebEx preferred",Video - Int.; Research - Beginner; Web chat - Int.; Web chat - Int.,,"This project is an opportunity to use instructional technology skills to develop an innovative delivery shell, but also to address the challenge of technical optimization for locations all across the globe."
131,State ,Foreign Service Institute (FSI),Washington D.C.,Connection Technologies Course - Graphics,"Contribute to the visuals of a course teaching the technical capabilities for Information Management Specialists to support the use of emerging technologies at US Embassies; Develop guides for event planning, design a course interface, and offer feedback to improve the course",Working knowledge of Adobe Connect and/or WebEx helpful; Graphic design and layout experience required,Video - Adv.; Graphic design - Adv.; Web chat - Int.,,
132,State ,Foreign Service Institute (FSI),Washington D.C.,Connection Technologies Course,Contribute to the design of a course teaching the technical capabilities for Information Management Specialists to support the use of emerging technologies at US Embassies; Design learning re-enforcement activities and develop an evaluation instrument,Working knowledge of Adobe Connect and/or Web X preferred  Course design and evaluation experience preferred,Video - Int.; Research - Int.; Web chat - Int.,,
133,State ,Foreign Service Institute (FSI),Washington D.C.,Supplementary Distance Learning Materials,Assist in the development of electronic book versions of distance language learning courses that Foreign Service officers and specialists can use to accompany their online course content,"Detail-oriented; Foreign Language skills are helpful, but not absolutely necessary, especially in the following languages: Arabic, French, Korean, Japanese, Pashto, Persian (Farsi), Polish, Russian, Spanish, and Urdu",Graphic design - Beginner; MS Office platform - Int.,,"The School of Language Studies currently offers 62 courses in 16 languages and provides language training for over 1,500 individuals each year.  The Distance Language Learning program is creating electronic book versions of each of its courses.  eInterns will convert the content of the online courses to an electronic book format using programs like Microsoft Word, Microsoft Publisher, Adobe Acrobat."
134,State ,Foreign Service Institute (FSI),Washington D.C.,Delving Deeper into Data: Discovering Statistically Reliable Relationships,Assist in the data analysis of the Annual Language Impact Survey (ALIS) that is sent to Foreign Service officers and specialists who have completed language training and been on the job for six months to see how well their language training at SLS prepared them to use the foreign language in their work,Background in statistics and able to create graphic representations of data,MS Office platform - Int.,,"The School of Language Studies provides language training to Foreign Service Officers, Specialists, and eligible family members."
135,State ,Foreign Service Institute (FSI),Washington D.C.,Spanish to French Conversion Course: The Springboard for Polyglots,Evaluate and develop French-language training tools for U.S. diplomats with advanced proficiency in Spanish.,"Oriented to Latin-American Spanish, however, native or near native Castilian-Spanish speakers may be considered",Graphic design - Int.; MS Office platform - Adv.; Research - Adv.; Web chat - Int.,French - Adv.; Spanish - Int.,Applicant must possess French and Spanish language abilities with professional proficiency. Having lived in a French and Spanish speaking country could be helpful.
136,State ,Foreign Service Institute (FSI),Washington D.C.,Knowledge Management,"Research current knowledge management (KM) information for training modules and other KM activities, and provide support on Adobe Connect Knowledge Sharing Webinars",Knowledge Management familiarity; SharePoint or other Knowledge Management tools  ,Blogging - Int.; MS Office platform - Int.; Research - Int.; Social media - Beginner; Web chat - Int.; Website editing - Int.,,"Weekly meetings to report research results.  Attend the Adobe Connect sessions virtually, monitoring the chat pods for questions, keeping an eye on the attendee list for hand raises and attendee input (talk louder, slower, etc.)  Inform speakers of technical issues during the session.  Webinar dates and times will be changing, but usually in the mornings."
137,State ,"Employee Relations, Human Resources (HR/ER/WLP)",Washington D.C.,Wellness Program Research ,Assist with research in developing wellness programming options for all domestic State Department field offices,,Blogging - Int.; Video - Int.; Digital camera - Int.; Digital film editing software - Int.; MS Office platform - Int.; Research - Adv.; Social media - Int.; Video recorder - Int.; Web chat - Int.; Website design and development - Int.; Website editing - Int.,,"Looking for enthusiastic eInterns who are creative, able to take direction, meet deadlines, work well independently and as part of a team(s).   "
138,State ,"American Spaces, International Information Programs (IIP/RCA/AS)",Washington D.C.,eLibraryUSA and eShop,"Help the Office of American Spaces Applied Technology Division review, revise, and create new training materials for its eLibraryUSA and eShop projects",Good writing skills; Experience in writing training materials and developing training curricula a plus,Graphic design - Beginner; MS Office platform - Int.; Research - Int.; Social media - Int.; Web chat - Int.,,The eIntern must be a current student at a Library and Information Science (or equivalent) school and have experience in performing database research. 
139,State ,"American Spaces, International Information Programs (IIP/RCA/AS)",Washington D.C.,American Spaces - Online Educational Resources,Promote the use of Online Educational Resources and Massive Open Online Courses in American Spaces and curate content for developing programs around the project for Spaces to use,Familiarity with Online Educational Resources and Massive Open Online Courses (MOOCs) a plus; Preference will be given to those who have taken MOOCs or online university classes in the past; Library Science majors or anyone with similar skills ,MS Office platform - Int.; Research - Adv.; Web chat - Int.,,
140,State ,"American Spaces, International Information Programs (IIP/RCA/AS)",Washington D.C.,Public Diplomacy Support for Foreign Audiences,Develop resources for a public diplomacy campaign to engage foreign audiences,"Experience in website maintenance and online content creation; Graphic design experience in creating infographics, charts, and visually friendly-formats to present data; Expertise in social media management, research, and data analysis",Blogging - Adv.; Graphic design - Int.; MS Office platform - Adv.; Research - Adv.; Social media - Adv.,,
141,State ,"Africa and the Middle East, International Narcotics and Law Enforcement Affairs (INL/AME)",Washington D.C.,Criminal Justice and Counter-Narcotics Program Research & Design,Research and prepare country desk studies for Sub-Saharan Africa and assist with program design,"Knowledge of Africa is not required, but is a plus",MS Office platform - Int.; Research - Int.; Social media - Beginner,,
142,State,"Anti-Crime Programs, International Narcotics and Law Enforcement Affairs (INL/C)",Washington D.C.,Anticorruption in West Africa,"Support an exciting ongoing project designed to strengthen the capacity of governments in West Africa to fight corruption, which may include the use of new technologies to highlight the significant impact of corruption on daily life in West Africa, and efforts to connect communities fighting corruption.","Strong writing, research, and analytical skills. Some knowledge of Africa and anticorruption issues. Foreign languages are not a must but could be helpful, especially French. ",Blogging - Int.; Video - Int.; Digital Camera - Int.; MS Office platform - Int.; Research - Int.; Social media - Int.; Video recorder - Int.; Web chat forums - Int.; Webcam - Int.; Website design and development - Int.; Website editing - Int.,See Regional or Specific Knowledge,
143,State,"Anti-Crime Programs, International Narcotics and Law Enforcement Affairs (INL/C)",Washington D.C.,"Open Government Partnership, Sub-Saharan Africa","Conduct research on important anticorruption issues, contribute to public diplomacy efforts to fight corruption, and seek open source information on foreign government officials who may have accepted bribes. ","Strong writing, research and analytical skills. 

Foreign language skills (such as French, Swahili, and Spanish) are not required but could be helpful. ",MS Office platform - Int.; Research - Int.,See Regional or Specific Knowledge,Some knowledge of Africa and anticorruption issues is necessary.
144,State,"Anti-Crime Programs, International Narcotics and Law Enforcement Affairs (INL/C)",Washington D.C.,Anticorruption in Latin America & the Caribbean,"Support and advance ongoing projects to prevent and combat trafficking-related corruption in the Asia-Pacific region, and increase awareness of challenges, efforts, and best practices to combat corruption in Latin-America and the Caribbean (LAC). ","Strong research, writing, and analytical skills. Some knowledge of Asia-Pacific and/or Latin America and trafficking-in-persons and corruption issues.  Foreign languages are not a must but could be helpful, especially Spanish or Portuguese.",MS Office platform - Int.; Research - Int.; Social media - Int.; Video recorder - Int.; Web chat forums - Int.; Webcam - Int.,See Regional or Specific Knowledge,
145,State,"Anti-Crime Programs, International Narcotics and Law Enforcement Affairs (INL/C)",Washington D.C.,Legal Research on Online Corruption Reporting,Research legal frameworks that protect online corruption reporters against charges of libel.,,MS Office platform - Int.; Research - Int.,,"Candidates must have strong writing, research, and analytical skills."
146,State ,"Resource Management, International Narcotics and Law Enforcement Affairs (INL/RM/GAPP)",Washington D.C.,End Use Monitoring Analysis,Analyze end use monitoring inventories for over 80 countries and determine the effectiveness and discrepancies of assistance provided,,MS Office platform - Int.,,"Maintain logs and spreadsheets for over 80 countries. Review monitoring procedures, status of inventory, program impact, problems and corrective action plans on commodities and services provided to the host government.  Document findings and provide recommendations.    "
147,State ,"Policy, Regional and Functional Organizations, International Organization Affairs (IO/PRF)",Washington D.C.,Multilateral Diplomacy Moneyball,"Help bring America’s multilateral diplomacy into the 21st century by applying statistical analysis to identify trends, solve problems, and suggest effective strategies for U.S. diplomatic engagement","Understanding of the multilateral system helpful, as would knowledge of multilateral rules of procedure regarding voting; Commitment to conduct open source data collection and familiarity with software tools to organize and present data are essential; Experience doing quantitative analysis; Understanding of UN family organizations and geopolitical blocs ",Research - Adv.,,
148,State ,"eDiplomacy, Information Resource Management (IRM/BMP/EDIP)",Washington D.C.,eDiplomacy Knowledge Leader Engagement Team,Join the State Department's Office of eDiplomacy (http://go.usa.gov/bkwT) Knowledge Leadership Division and help us increase awareness and adoption of our internal collaboration tools (http://go.usa.gov/bkvd) and advance our important mission: to ensure diplomats can find and share the information and expertise they need to do their jobs from anywhere at any time and increasingly on any device,,Graphic design - Int.; Research - Int.; Website design and development - Int.,,"Work closely with eDiplomacy Outreach Team on a wide variety of projects.  Familiarity with Wordpress, graphic design, and user interface."
149,State ,"eDiplomacy, Information Resource Management (IRM/BMP/EDIP)",Washington D.C.,GIS Development,Assist the GIS team in developing new projects and maintaining existing projects,"Firm understanding of Geographic Information Systems (GIS) basics; Experience programming in any language a plus, and any experience doing Python based web development would be ideal",,,
150,State ,"eDiplomacy, Information Resource Management (IRM/BMP/EDIP)",Washington D.C.,TechCamp Spanish Translation,"Be a part of an innovative Department of State initiative, TechCamp, that brings low cost easy to implement technology solutions (mapping, SMS, social media tools) to NGO groups around the world to will work closely with the TechCamp team to build tools and materials to be used by Spanish audiences that participate in these events",,Blogging - Adv.; Digital film editing software - Int.; Social media - Int.,Spanish - Adv.,"Previous events and audiences using the Spanish content include Lima, Montevideo, Guatemala, and Honduras. Find out more about the program at techcampglobal.org."
